test,predict
3.621444444,3.9141266
3.893555556,3.9063706
3.872444444,3.900559
3.478777778,3.8159857
3.532222222,3.6074712
3.648,3.2406747
3.481777778,3.1743703
3.506666667,3.2040296
3.179333333,3.1757615
3.313111111,3.0792248
3.300666667,3.0762372
3.373333333,3.100584
3.3034444440000006,3.0909903
2.935666667,3.0633626
3.136444444,3.02253
3.193333333,2.9461553
3.019444444,2.960918
2.970666667,2.9227092
2.930666667,3.1574955
3.073555556,3.2205565
3.0666666670000002,3.3432367
3.059333333,3.0991528
2.94,3.0448766
